,AGNO,RBD,DGV_RBD,NOM_RBD,MRUN,RUT_SOSTENEDOR,P_JURIDICA,COD_REG_RBD,NOM_REG_RBD_A,COD_PRO_RBD,COD_COM_RBD,NOM_COM_RBD,COD_DEPROV_RBD,NOM_DEPROV_RBD,COD_DEPE,COD_DEPE2,RURAL_RBD,LATITUD,LONGITUD,CONVENIO_PIE,ENS_01,ENS_02,ENS_03,ENS_04,ENS_05,ENS_06,ENS_07,ENS_08,ENS_09,ENS_10,ENS_11,MATRICULA,ESTADO_ESTAB,ORI_RELIGIOSA,ORI_OTRO_GLOSA,PAGO_MATRICULA,PAGO_MENSUAL,check
9946,2020,13450,3,COLEGIO ANDRES BELLO - PAMPA, ,88703300,1,4,COQ,41,4101,LA SERENA,41,ELQUI,4,3,0,-29.923611020000000,-71.25544307000000,0,10,110,310,0,0,0,0,0,0,0,0,1,1,1, ,$1.000 A $10.000,$50.001 A $100.000,True
9947,2020,13451,1,JARDIN INFANTIL JESUS DE NAZARET, ,65158276,1,4,COQ,41,4101,LA SERENA,41,ELQUI,3,2,0,-29.950408940000000,-71.26593018000000,0,10,0,0,0,0,0,0,0,0,0,0,1,1,2, ,GRATUITO,GRATUITO,True
9948,2020,13453,8,JARDIN INFANTIL MICHEY MOUSE, ,76085255,1,4,COQ,41,4102,COQUIMBO,41,ELQUI,3,2,0,-29.970863030000000,-71.25900917000000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9, ,SIN INFORMACION,SIN INFORMACION,True
9950,2020,13455,4,ESCUELA ESPECIAL ILLAPEL, ,69041200,1,4,COQ,42,4201,ILLAPEL,43,CHOAPA,2,1,1,-31.601482000000000,-71.10429400000000,0,212,0,0,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO,True
9952,2020,13457,0,JARDIN INFANTIL MI BEBITO, ,65149177,1,4,COQ,43,4301,OVALLE,42,LIMARÍ,3,2,0,-30.599355700000000,-71.19661713000001,0,10,0,0,0,0,0,0,0,0,0,0,1,1,2, ,GRATUITO,GRATUITO,True
9955,2020,13460,0,JARDIN INFANTIL HAPPY HOUSE, ,65167774,1,4,COQ,41,4102,COQUIMBO,41,ELQUI,3,2,0,-29.984690000000000,-71.32902000000000,0,10,0,0,0,0,0,0,0,0,0,0,1,1,2, ,GRATUITO,GRATUITO,True
9956,2020,13461,9,LICEO CARMEN AURORA RODRIGUEZ HENRIQUEZ, ,61999320,1,4,COQ,41,4102,COQUIMBO,41,ELQUI,6,5,0,-30.262640000000000,-71.49340100000001,1,165,310,363,810,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO,True
9957,2020,13462,7,COLEGIO CERRO GUAYAQUIL, ,69040800,1,4,COQ,43,4303,MONTE PATRIA,42,LIMARÍ,2,1,0,-30.686729430000000,-70.96056366000001,1,10,110,310,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO,True
9958,2020,13463,5,COLEGIO CARLOS CONDELL DE LA HAZA, ,70892100,1,4,COQ,41,4101,LA SERENA,41,ELQUI,1,1,0,-29.870449000000000,-71.23944100000000,1,10,110,0,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO,True
9960,2020,13465,1,ESCUELA BASICA JESUS NAZARENO, ,65149786,1,4,COQ,42,4204,SALAMANCA,43,CHOAPA,3,2,1,-31.796480000000000,-70.96180000000000,0,110,0,0,0,0,0,0,0,0,0,0,1,1,2, ,GRATUITO,GRATUITO,True
9961,2020,13467,8,COLEGIO SANTA MARIA DEL REFUGIO, ,65196510,1,4,COQ,41,4102,COQUIMBO,41,ELQUI,3,2,0,-29.942120000000000,-71.34191100000000,1,10,110,0,0,0,0,0,0,0,0,0,1,1,2, ,GRATUITO,GRATUITO,True
9963,2020,13469,4,JARDIN INFANTIL GRAN MOZART, ,65154108,1,4,COQ,41,4101,LA SERENA,41,ELQUI,3,2,0,-29.916952130000000,-71.21951294000000,0,10,214,0,0,0,0,0,0,0,0,0,1,1,7,NINGUNA,GRATUITO,GRATUITO,True
9965,2020,13471,6,ESC. ESPECIAL DE TRAN. DE LA COM. SANTA LUISA, ,65124375,1,4,COQ,41,4101,LA SERENA,41,ELQUI,3,2,0,-29.917728000000000,-71.21326000000001,0,214,0,0,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO,True
